group,files_in_group,aspen_picked,your_pick,your_reason,confidence_1_to_5
0,_ANI7997.ARW | _ANI7998.ARW | _ANI7999.ARW | _ANI8000.ARW,_ANI7997.ARW,,,
1,_ANI7994.ARW | _ANI7996.ARW,_ANI7996.ARW,,,
2,_ANI7985.ARW | _ANI7986.ARW | _ANI7987.ARW,_ANI7986.ARW,,,
3,_ANI7887.ARW | _ANI7888.ARW,_ANI7887.ARW,,,
4,_ANI7924.ARW | _ANI7925.ARW,_ANI7925.ARW,,,
5,_ANI7981.ARW | _ANI7982.ARW | _ANI7983.ARW,_ANI7983.ARW,,,
6,_ANI7957.ARW | _ANI7958.ARW,_ANI7958.ARW,,,
7,_ANI7933.ARW | _ANI7934.ARW,_ANI7934.ARW,,,
8,_ANI7893.ARW | _ANI7894.ARW,_ANI7893.ARW,,,
9,_ANI7990.ARW | _ANI7991.ARW,_ANI7991.ARW,,,
10,_ANI7962.ARW | _ANI7963.ARW | _ANI7964.ARW,_ANI7962.ARW,,,
11,_ANI7908.ARW | _ANI7909.ARW | _ANI7910.ARW | _ANI7911.ARW | _ANI7912.ARW | _ANI7913.ARW | _ANI7914.ARW | _ANI7915.ARW,_ANI7915.ARW,,,
12,_ANI7926.ARW | _ANI7927.ARW,_ANI7926.ARW,,,
13,_ANI7943.ARW | _ANI7944.ARW | _ANI7945.ARW | _ANI7946.ARW | _ANI7947.ARW,_ANI7946.ARW,,,
14,_ANI7948.ARW | _ANI7949.ARW | _ANI7950.ARW | _ANI7951.ARW | _ANI7952.ARW | _ANI7953.ARW | _ANI7954.ARW,_ANI7951.ARW,,,
15,_ANI7931.ARW | _ANI7932.ARW,_ANI7932.ARW,,,
16,_ANI7937.ARW | _ANI7938.ARW,_ANI7938.ARW,,,
17,_ANI7970.ARW | _ANI7973.ARW | _ANI7974.ARW | _ANI7975.ARW | _ANI7976.ARW | _ANI7977.ARW | _ANI7978.ARW | _ANI7979.ARW | _ANI7980.ARW,_ANI7973.ARW,,,
18,_ANI7984.ARW | _ANI7988.ARW | _ANI7989.ARW,_ANI7984.ARW,,,
19,_ANI8007.ARW | _ANI8008.ARW,_ANI8007.ARW,,,
20,_ANI7929.ARW | _ANI7930.ARW,_ANI7930.ARW,,,
